"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","should display the main heading","chromium","Sat Feb 14 20:26:17 UTC 2026","skipped","Sat Feb 14 20:26:17 UTC 2026","Home page","smoke/home.spec.ts","",""
"","0","should display the main heading","mobile-chrome","Sat Feb 14 20:26:17 UTC 2026","skipped","Sat Feb 14 20:26:17 UTC 2026","Home page","smoke/home.spec.ts","",""
"","47679","authenticate as basic user","auth-setup","Sat Feb 14 20:23:51 UTC 2026","broken","Sat Feb 14 20:24:38 UTC 2026","","../src/auth/auth.setup.ts","",""
"","0","should display user list","chromium","Sat Feb 14 20:26:17 UTC 2026","skipped","Sat Feb 14 20:26:17 UTC 2026","User management","admin/user-management.spec.ts","",""
"","47833","authenticate as admin user","auth-setup","Sat Feb 14 20:25:29 UTC 2026","broken","Sat Feb 14 20:26:16 UTC 2026","","../src/auth/auth.setup.ts","",""
"","0","should display Google sign-in button on login page","chromium","Sat Feb 14 20:26:17 UTC 2026","skipped","Sat Feb 14 20:26:17 UTC 2026","Google OAuth","auth/google-oauth.spec.ts","",""
"","0","should display login form elements","chromium","Sat Feb 14 20:26:17 UTC 2026","skipped","Sat Feb 14 20:26:17 UTC 2026","Login page","auth/login.spec.ts","",""
"","0","should show error when no token in URL","chromium","Sat Feb 14 20:26:17 UTC 2026","skipped","Sat Feb 14 20:26:17 UTC 2026","Reset password page","auth/reset-password.spec.ts","",""
"","0","should stay on root URL (no locale prefix)","mobile-chrome","Sat Feb 14 20:26:17 UTC 2026","skipped","Sat Feb 14 20:26:17 UTC 2026","Home page","smoke/home.spec.ts","",""
"","0","should show error when no token in URL","mobile-chrome","Sat Feb 14 20:26:17 UTC 2026","skipped","Sat Feb 14 20:26:17 UTC 2026","Reset password page","auth/reset-password.spec.ts","",""
"","0","should display Ukrainian content by default","chromium","Sat Feb 14 20:26:17 UTC 2026","skipped","Sat Feb 14 20:26:17 UTC 2026","Home page","smoke/home.spec.ts","",""
"","0","should stay on root URL (no locale prefix)","chromium","Sat Feb 14 20:26:17 UTC 2026","skipped","Sat Feb 14 20:26:17 UTC 2026","Home page","smoke/home.spec.ts","",""
"","0","should display Google sign-in button on login page","mobile-chrome","Sat Feb 14 20:26:17 UTC 2026","skipped","Sat Feb 14 20:26:17 UTC 2026","Google OAuth","auth/google-oauth.spec.ts","",""
"","0","should display Ukrainian content by default","mobile-chrome","Sat Feb 14 20:26:17 UTC 2026","skipped","Sat Feb 14 20:26:17 UTC 2026","Home page","smoke/home.spec.ts","",""
"","0","should complete full password reset flow (forgot -> email -> reset -> login)","mobile-chrome","Sat Feb 14 20:26:17 UTC 2026","skipped","Sat Feb 14 20:26:17 UTC 2026","Password reset flow (E2E)","auth/password-reset-flow.spec.ts","",""
"","1","should complete full password reset flow (forgot -> email -> reset -> login)","chromium","Sat Feb 14 20:26:17 UTC 2026","skipped","Sat Feb 14 20:26:17 UTC 2026","Password reset flow (E2E)","auth/password-reset-flow.spec.ts","",""
"","0","should display user list","mobile-chrome","Sat Feb 14 20:26:17 UTC 2026","skipped","Sat Feb 14 20:26:17 UTC 2026","User management","admin/user-management.spec.ts","",""
"","0","should display login form elements","mobile-chrome","Sat Feb 14 20:26:17 UTC 2026","skipped","Sat Feb 14 20:26:17 UTC 2026","Login page","auth/login.spec.ts","",""
"","0","should display forgot password form elements","mobile-chrome","Sat Feb 14 20:26:17 UTC 2026","skipped","Sat Feb 14 20:26:17 UTC 2026","Forgot password page","auth/forgot-password.spec.ts","",""
"","0","should display forgot password form elements","chromium","Sat Feb 14 20:26:17 UTC 2026","skipped","Sat Feb 14 20:26:17 UTC 2026","Forgot password page","auth/forgot-password.spec.ts","",""
